resolved_taxon,sample_id,relative_abundance_percent,group
F_Lactobacillaceae,Ctrl1,2.107771260997067,Ctrl
A2,Ctrl1,0.0,Ctrl
Lachnospiraceae_NK4A136_group,Ctrl1,0.6964809384164222,Ctrl
Lachnospiraceae_UCG-006,Ctrl1,0.0,Ctrl
F_Lactobacillaceae,Ctrl2,1.8151815181518154,Ctrl
A2,Ctrl2,0.0,Ctrl
Lachnospiraceae_NK4A136_group,Ctrl2,2.2185551888522186,Ctrl
Lachnospiraceae_UCG-006,Ctrl2,0.0,Ctrl
F_Lactobacillaceae,Ctrl3,2.550779404818139,Ctrl
A2,Ctrl3,0.684931506849315,Ctrl
Lachnospiraceae_NK4A136_group,Ctrl3,2.3618327822390173,Ctrl
Lachnospiraceae_UCG-006,Ctrl3,0.0,Ctrl
F_Lactobacillaceae,Ctrl4,1.077035414384812,Ctrl
A2,Ctrl4,0.0,Ctrl
Lachnospiraceae_NK4A136_group,Ctrl4,1.2778386272362174,Ctrl
Lachnospiraceae_UCG-006,Ctrl4,0.0,Ctrl
F_Lactobacillaceae,RB1,9.27390366642703,RB
A2,RB1,0.0,RB
Lachnospiraceae_NK4A136_group,RB1,0.0,RB
Lachnospiraceae_UCG-006,RB1,0.0,RB
F_Lactobacillaceae,RB2,2.6744324260073693,RB
A2,RB2,1.7472958516581483,RB
Lachnospiraceae_NK4A136_group,RB2,2.6268869606561274,RB
Lachnospiraceae_UCG-006,RB2,0.48734101985023176,RB
F_Lactobacillaceae,RB3,3.624097897709445,RB
A2,RB3,2.1336680263570758,RB
Lachnospiraceae_NK4A136_group,RB3,1.6630059617194854,RB
Lachnospiraceae_UCG-006,RB3,0.0,RB
F_Lactobacillaceae,RB4,3.956251687820686,RB
A2,RB4,0.0,RB
Lachnospiraceae_NK4A136_group,RB4,3.186605455036457,RB
Lachnospiraceae_UCG-006,RB4,0.32406157169862276,RB
F_Lactobacillaceae,FRB1,8.507286333202048,FRB
A2,FRB1,1.063410791650256,FRB
Lachnospiraceae_NK4A136_group,FRB1,4.962583694367861,FRB
Lachnospiraceae_UCG-006,FRB1,0.31508467900748327,FRB
F_Lactobacillaceae,FRB2,12.459344508381285,FRB
A2,FRB2,0.8631473605203903,FRB
Lachnospiraceae_NK4A136_group,FRB2,4.015511633725294,FRB
Lachnospiraceae_UCG-006,FRB2,0.2752064048036027,FRB
F_Lactobacillaceae,FRB3,7.712082262210797,FRB
A2,FRB3,2.0886889460154245,FRB
Lachnospiraceae_NK4A136_group,FRB3,3.888174807197944,FRB
Lachnospiraceae_UCG-006,FRB3,1.8637532133676094,FRB
F_Lactobacillaceae,FRB4,5.545357936431262,FRB
A2,FRB4,1.6230315911506132,FRB
Lachnospiraceae_NK4A136_group,FRB4,2.453869191382475,FRB
Lachnospiraceae_UCG-006,FRB4,0.6955849676359772,FRB
