resolved_taxon,Ctrl1,Ctrl2,Ctrl3,Ctrl4,RB1,RB2,RB3,RB4,FRB1,FRB2,FRB3,FRB4
A2,0.0,0.0,0.00684931506849315,0.0,0.0,0.017472958516581483,0.021336680263570756,0.0,0.01063410791650256,0.008631473605203903,0.020886889460154243,0.016230315911506133
ASF356,0.0,0.0027502750275027505,0.0,0.011317999269806499,0.007548526240115025,0.005230001188636634,0.0018826482585503608,0.0022954361328652445,0.0,0.0015011258443832875,0.0,0.002994879721766013
Acetatifactor,0.0,0.0,0.0,0.0,0.0,0.0,0.009256353937872608,0.0,0.0,0.0,0.0,0.0
Akkermansia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009189969804384928,0.0,0.0,0.0
Alistipes,0.01374633431085044,0.0033003300330033004,0.01629664619744922,0.020080321285140562,0.0,0.010697729704029478,0.018669595230624413,0.02281933567377802,0.019167651306288565,0.01075806855141356,0.015638389031705228,0.018355714423727177
Alloprevotella,0.021444281524926685,0.01485148514851485,0.01889466225791214,0.01624680540343191,0.0,0.005348864852014739,0.0,0.026735079665136375,0.02179335696468426,0.01576182136602452,0.01017566409597258,0.009660902328277461
Anaerotruncus,0.01594574780058651,0.008434176751008434,0.004487482286254133,0.0038335158817086527,0.0,0.002258409604184001,0.0,0.0,0.0015754233950374162,0.0008756567425569177,0.0019280205655526992,0.0030914887450487877
Bacteroides,0.06653225806451613,0.08214154748808214,0.05951818611242324,0.07082876962395035,0.015815959741193385,0.024961369309402116,0.03153435833071854,0.04023764515257899,0.03636602336878036,0.013760320240180136,0.021422450728363324,0.007825330885904744
Bifidobacterium,0.05333577712609971,0.04968830216354969,0.0533774208786018,0.029755385177071925,0.16714593817397555,0.02935932485439201,0.05961719485409476,0.048474210099918986,0.04450571090980701,0.0509131848886665,0.03984575835475578,0.03487585740508164
Butyricicoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036456926816095057,0.0,0.0,0.0012853470437017994,0.0
Candidatus_Saccharimonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002356469580119966,0.0
Clostridia_UCG-014,0.03903958944281525,0.03850385038503851,0.07085498346717052,0.028660094925155165,0.007548526240115025,0.043028646142874126,0.009727016002510198,0.007291385363219011,0.017460942628331363,0.019389542156617465,0.03513281919451585,0.008115157955753067
Clostridia_vadinBB60_group,0.0,0.0009167583425009168,0.01653282947567312,0.045454545454545456,0.0,0.0021395459408058955,0.0015688735487919673,0.0,0.0005251411316791387,0.0,0.0,0.0
Clostridium_sensu_stricto_1,0.0,0.0,0.01983939537080775,0.019532676159182184,0.0,0.012242957327944847,0.011609664261060559,0.010261949770456387,0.014703951687015885,0.009882411808856642,0.009640102827763496,0.01381509032943677
Colidextribacter,0.0,0.0,0.0,0.012413289521723256,0.0,0.01319386663496969,0.012394101035456542,0.01053200108020524,0.00420112905343311,0.0,0.00728363324764353,0.010143947444691334
Coriobacteriaceae_UCG-002,0.004398826979472141,0.005317198386505317,0.00826641473783656,0.004381161007667032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051288466349762325,0.0,0.014298135445850643
Desulfovibrio,0.009897360703812317,0.0,0.004487482286254133,0.00547645125958379,0.004313443565780014,0.009627956733626531,0.008942579228114214,0.0070213340534701595,0.0032821320729946174,0.009632224168126095,0.005891173950299915,0.007921939909187518
Dubosiella,0.12939882697947214,0.14998166483314998,0.13556920170051961,0.11409273457466229,0.1746944644140906,0.07024842505646024,0.09507373705679323,0.07291385363219012,0.0,0.004503377533149862,0.003641816623821765,0.0
Enterorhabdus,0.0,0.004767143381004767,0.004723665564478035,0.0,0.013299784327821711,0.019255913467253062,0.022278004392845937,0.0068863083985957335,0.046343704870684,0.06367275456592444,0.03577549271636675,0.03535890252149551
Erysipelatoclostridium,0.0,0.0018335166850018336,0.0,0.0009127418765972983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
